Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2021-01-04,13.076725959777832,13.614214972587265,12.926149380434182,13.067502211124319,560640000
2021-01-05,13.36716079711914,13.405801831570836,13.050301842015084,13.063015761821758,322760000
2021-01-06,12.57912540435791,13.207857143489328,12.55070572206963,13.185420201840708,580424000
2021-01-07,13.306578636169434,13.34023452196622,12.850362120145352,12.93113434405788,461480000
2021-01-08,13.239517211914062,13.383362603495904,13.005425734005303,13.325027318748608,292528000
2021-01-11,13.583301544189453,13.921849917900058,13.32502802714216,13.381119906111909,518344000
2021-01-12,13.446934700012207,13.71592883730901,13.307577070665623,13.7139336394329,291476000
2021-01-13,13.493802070617676,13.586790839609762,13.347464109941011,13.452169197546132,210028000
2021-01-14,13.163233757019043,13.561613379423017,13.143539497208097,13.53693302640676,283120000
2021-01-15,12.823436737060547,13.287880328629798,12.812467905007326,13.190903071841593,277780000
2021-01-19,12.988722801208496,13.057279430107188,12.807980522839523,12.979747264530975,226188000
2021-01-20,13.32827091217041,13.392839062776265,13.020137375418026,13.07498250117972,258572000
2021-01-21,13.828611373901367,13.959992011036567,13.215834583904515,13.380870156744221,337780000
2021-01-22,13.67404556274414,13.802933631043508,13.589034728801968,13.701468596467407,246820000
2021-01-25,13.614961624145508,13.789720219870421,13.199380371226189,13.743101253478759,251112000
2021-01-26,13.39757251739502,13.606484357318374,13.349955955617846,13.542414547382485,163980000
2021-01-27,12.881523132324219,13.195639311128085,12.757870336744448,13.192896627758461,371272000
2021-01-28,13.01440143585205,13.302342356675961,12.924155341787754,12.959805478023089,228316000
2021-01-29,12.953320503234863,13.297353226268248,12.875290021733056,13.038331322992429,271552000
2021-02-01,13.199881553649902,13.233536494186444,12.866568401432255,13.016646669284185,217204000
2021-02-02,13.518732070922852,13.533938558603332,13.248242035181995,13.361175169955763,220440000
2021-02-03,13.49255657196045,13.89268122482267,13.478595893291107,13.597759985933012,245408000
2021-02-04,13.625930786132812,13.635154533800035,13.30034647317784,13.493054232332696,201340000
2021-02-05,13.552886009216309,13.698726599293336,13.507762965833473,13.686511005543283,169152000
2021-02-08,14.398260116577148,14.43316181497627,13.688755187120892,13.688755187120892,434624000
2021-02-09,14.223251342773438,14.542353649548263,14.182615117513894,14.300533397758027,287560000
2021-02-10,14.722846984863281,14.863202216590143,14.301282965701423,14.422691425140114,485352000
